number,value,datetime_start,datetime_complete,duration,params_flag_0,params_flag_1,params_flag_10,params_flag_11,params_flag_12,params_flag_13,params_flag_14,params_flag_15,params_flag_16,params_flag_17,params_flag_18,params_flag_19,params_flag_2,params_flag_20,params_flag_21,params_flag_22,params_flag_23,params_flag_24,params_flag_25,params_flag_26,params_flag_27,params_flag_28,params_flag_29,params_flag_3,params_flag_4,params_flag_5,params_flag_6,params_flag_7,params_flag_8,params_flag_9,state
85,0.22230544365022709,2025-06-21 05:37:12.344118,2025-06-21 05:37:13.162340,0 days 00:00:00.818222,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,COMPLETE
86,0.21357721202066007,2025-06-21 05:37:13.166772,2025-06-21 05:37:13.973821,0 days 00:00:00.807049,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,COMPLETE
87,0.014686488334291935,2025-06-21 05:37:13.975470,2025-06-21 05:37:14.573457,0 days 00:00:00.597987,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,COMPLETE
88,0.17094770935126535,2025-06-21 05:37:14.574721,2025-06-21 05:37:15.113503,0 days 00:00:00.538782,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,COMPLETE
89,0.21426921062783308,2025-06-21 05:37:15.114851,2025-06-21 05:37:15.590470,0 days 00:00:00.475619,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,COMPLETE
90,0.21426921062783308,2025-06-21 05:37:15.591743,2025-06-21 05:37:16.049492,0 days 00:00:00.457749,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,COMPLETE
91,0.13240896500129412,2025-06-21 05:37:16.050775,2025-06-21 05:37:16.609115,0 days 00:00:00.558340,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,COMPLETE
92,0.009843532362192927,2025-06-21 05:37:16.610478,2025-06-21 05:37:17.072417,0 days 00:00:00.461939,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,COMPLETE
93,0.21878519194545573,2025-06-21 05:37:17.073709,2025-06-21 05:37:17.567128,0 days 00:00:00.493419,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,COMPLETE
94,0.014233502003625763,2025-06-21 05:37:17.568624,2025-06-21 05:37:18.153133,0 days 00:00:00.584509,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,COMPLETE
95,-0.02480040804525299,2025-06-21 05:37:18.154597,2025-06-21 05:37:18.647505,0 days 00:00:00.492908,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,COMPLETE
96,0.21878519194545573,2025-06-21 05:37:18.648982,2025-06-21 05:37:19.117728,0 days 00:00:00.468746,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,COMPLETE
97,-0.06760568889165341,2025-06-21 05:37:19.119035,2025-06-21 05:37:19.608034,0 days 00:00:00.488999,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,COMPLETE
98,-0.05720059811886327,2025-06-21 05:37:19.609337,2025-06-21 05:37:20.064468,0 days 00:00:00.455131,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,COMPLETE
99,0.1800889618395691,2025-06-21 05:37:20.065876,2025-06-21 05:37:20.648709,0 days 00:00:00.582833,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,COMPLETE
100,0.004931589418777439,2025-06-21 05:37:20.649987,2025-06-21 05:37:21.113453,0 days 00:00:00.463466,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,COMPLETE
101,0.21528929403087096,2025-06-21 05:37:21.114838,2025-06-21 05:37:21.598224,0 days 00:00:00.483386,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,COMPLETE
